Código IBGE,Município,UF,Área (km²),População 2022,PIB per capita 2021,Índice de Progresso Social,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (Poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidente de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Evasão no Ensino Médio,Distorção Idade-Série no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Consumo de Alimentos Ultraprocessados,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquido de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19 anos),Índice de Vulnerabilidade das Famílias do Cadastro Único (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência contra Indígenas,Violência contra Mulheres,Violência contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana do Enem
2600054,Abreu e Lima,PE,126.384,103945.0,16709.2701274713,59.9475374480696,70.2104930732865,65.5636513892291,44.0684678816932,68.8012880104237,69.4345704225127,88.4673244725995,54.1387893876099,75.1653636146925,67.498564068207,55.0911324495605,64.4995454244564,25.8818189418621,52.9907302767974,75.2335520331977,22.1677702749155,51.2570465505668,991.021190757251,155.725719068739,12.4679643939916,3.37338538396573,85.7009603960389,30.4480658878645,86.86,58.26125,85.5573134255675,80.3322536034098,82.8521298561446,98.4646012671426,84.7102629741681,1.45608449172944,28.8436147955556,3.04686071784038,1.1,0.25,5.96666666666667,24.5666666666667,4.25833333333333,4.68333333333333,99.93,5.67,90.58,94.6624333333333,81.5899245948982,72.46,2.57846225644615,461.837021452286,19.9233069013888,3.65623286140846,7.77741652047663,1.39164017550385,0.0,51.15,14.2416376259013,3.0,5.0,90.8333333333333,1155.78522727273,415.046679415711,61.0,4.0,15.0624871015915,0.280532841074954,0.839602396762203,11.4419003467592,0.307692307692308,0.969192872452735,0.0,5.82433796691777,87.8453921098866,25.5684028551212,29.7751520018355,504.987872643897
2600104,Afogados da Ingazeira,PE,378.031,42407.0,12869.8388662249,61.2600431839021,78.7465400750948,66.0402576589352,38.9933318176763,71.8115257183937,81.9085224057635,96.0608565822845,65.2052555939374,78.1016328859547,66.2775848557343,57.5023136034506,62.2794992906011,19.0109091616928,57.9113759852101,49.5949111261137,29.4561309976886,91.4576984220388,1282.45658157668,159.277515078617,15.3281299964293,5.31318099013637,80.2478898810922,83.7735287391642,100.0,48.03375,76.6786158658822,98.624230004374,98.9543007628147,99.3681247103698,21.6356555603635,3.6078506830864,14.9101662483537,25.844288163813,0.566666666666667,0.5,6.23333333333333,23.0833333333333,5.30833333333333,5.53333333333333,94.06,8.97,87.38,93.7677388888889,73.8369467028004,73.39,2.31685894696862,459.641429574023,21.3273589601106,3.97604433289431,6.14325257911556,2.98158974724778,1.98802216644716,46.7,30.53138580214,4.0,0.0,122.111111111111,1124.53611111111,482.947615242813,49.2222222222222,9.0,14.5040135913901,0.277900093153237,1.18897458462762,5.72651776668952,0.461538461538462,0.715382837638442,45.045045045045,636.905907254185,110.472823685373,35.2583876864427,43.3355316186708,537.398516117296
2600203,Afrânio,PE,1490.594,19349.0,10922.8719572071,52.5633392287071,64.6784498804413,57.6917913699116,35.3197764357684,73.5739975416812,45.9708637603853,78.8119564189434,60.3569818007554,78.2506182710313,41.6612947716806,59.4473183604593,51.407934076475,10.8405304725507,48.1196467416939,52.8382551404353,29.4806733883936,95.2658491799197,910.494708939783,92.5617480253617,21.0000113894982,5.93814652665411,40.1291384982311,18.8289302776303,55.48625,35.54125,7.06262762796518,98.2814844501985,70.4179380874887,95.7944098210394,16.3114397564159,8.53697577633122,16.0651172753561,21.4201563671415,0.3,0.05,5.33333333333333,22.4833333333333,4.55833333333333,2.78333333333333,52.45,2.66,45.85,76.0235611111111,69.1967575534267,70.68,2.44342078910475,316.258293211073,14.8141187634009,10.7100781835707,0.358503272355246,11.3397687601583,43.91132055264,47.36,43.1231212378541,2.0,0.0,73.5,2634.38541666667,853.065259995145,54.0,3.0,18.2334302098175,0.314722937896559,1.33616396487094,1.71191998556048,0.545454545454545,0.0,476.190476190477,98.1752214278092,58.7084148727984,32.6336278103973,45.3378956372968,496.337966543521
2600302,Agrestina,PE,200.369,24615.0,14439.7263213488,58.5879782986881,75.0558560958544,62.687439594219,38.0206392059908,73.4130369744172,85.2717332933742,94.8198214652345,46.7188326503915,73.7155562149958,63.3126506836945,49.1599435712056,64.5616079069801,7.68359625457443,50.0094609487253,69.0339349689345,25.3555646517291,82.5530441469418,1474.0845865568,197.799754753427,14.1461965399192,2.79073761035653,81.5276609479782,83.638837187428,99.5775,30.9825,86.0218265902086,96.991685303999,90.7236668513295,98.9079883307986,76.6150095768762,4.05153553196663,43.7360696412801,32.8020522309601,0.266666666666667,0.7,7.95,30.35,4.38333333333333,5.78333333333333,99.67,9.39,68.07,92.1145833333333,75.9590792838875,70.57,3.53814563260148,490.008688598153,16.0909289475472,3.15404348374616,1.19715626806263,3.47944673540072,0.0,41.17,7.78910771775122,1.0,0.0,60.5,1738.81547619047,595.776385014574,91.6666666666667,3.0,15.2779853410094,0.307764485256079,1.35151713108205,5.99928440282053,0.181818181818182,0.836776059738049,0.0,42.1359695324528,68.2687056253413,27.7297634546163,34.3078460769615,515.446878585917
2600401,Água Preta,PE,531.935,27221.0,9616.21622276919,55.4140795940649,63.9949553265418,59.0509840297385,43.1962994259144,64.9327440712303,64.2853759481119,89.5851855333774,37.1765157534476,71.2077395698383,55.2808983359558,49.6653949069925,60.0499033061675,27.5508146825704,51.5223448286534,72.2843853018208,21.4276528906128,67.230543507802,994.367860253927,215.002055776772,16.4481418175887,4.59406285832623,70.065099876099,65.1071964584787,70.1475,57.83375,70.0443942177721,89.5291189793723,92.8381434651243,94.524475483524,94.6521533364884,9.14745700695207,40.0589546880314,9.82578133857375,2.36666666666667,0.3,8.23333333333333,32.4,4.08333333333333,2.73333333333333,86.88,1.68,50.99,95.3679138888889,65.4878678368611,70.64,2.93035005413208,581.313339234617,18.7357311640625,1.2597155562274,0.940500274064921,4.89529758509561,1.88957333434111,46.29,14.4265374712659,3.0,4.0,95.6666666666667,1002.94202741703,489.698836274666,30.0,3.0,20.2223348513025,0.300983309715006,8.23128086995956,1.28769696377963,0.363636363636364,0.645264338665626,0.0,36.5898280278083,41.8760469011726,23.687747343934,31.6614420062696,471.646866502463
2600500,Águas Belas,PE,885.988,43713.0,9242.99659826596,54.1457926011495,66.6979232134046,55.4912433898173,40.2482112002265,74.2645402407581,44.9269574707676,86.0140851533976,61.5861099886949,68.2928184015347,49.7738581093366,49.5009328858677,54.3973641625304,34.4379102262802,47.3608939402838,56.7090170035871,22.485023630755,88.0068825396229,730.176796639516,162.97811868703,17.4768530855218,3.73832367029677,32.3093798049482,39.2886992092423,48.30625,31.615,52.6625740913178,89.3791142042024,85.6831125533127,95.6383751983558,21.3302307543145,5.62403336926465,26.9567728891884,12.0342736112448,2.0,3.33333333333333,11.6333333333333,33.1333333333333,4.40833333333333,4.46666666666667,60.71,4.18,52.09,93.5660111111111,68.1504818383988,66.44,2.67454954954955,460.212492702737,16.36617170469,5.29508038894773,3.21528218273509,4.56540382726386,1.68479830557428,59.44,17.9406503655143,6.0,8.0,60.0,1179.25416666667,716.864224573695,83.3333333333333,4.0,19.3416207284697,0.328232974366752,1.32004056224126,1.77120569054595,0.153846153846154,0.736405529953918,7.37618545837723,215.587945821812,115.651503469545,24.9743954834108,31.4165724438701,489.050450589557
2600609,Alagoinha,PE,220.995,14355.0,10170.8880877743,55.8849287398978,66.0338866870155,61.8312020639504,39.7896974687274,76.3073259863924,44.3815245539602,89.2157297337604,54.2309664739491,70.1523022522884,61.5927912520517,56.5101615405213,59.0695532109403,28.130133807981,50.3708623311544,50.1862187328093,30.4715750029648,95.0141683533754,1154.0573111238,132.739574758334,22.2810482260571,3.3154638360399,22.6171326128342,49.1145750939412,48.2475,24.3925,63.3392065609733,95.1800054225395,81.7429698581851,98.7581330237494,49.7347480106101,11.1045306485046,31.0146211785556,18.4610840348545,1.21666666666667,0.0666666666666667,7.56666666666667,33.8166666666667,4.18,11.8333333333333,94.22,13.97,58.93,92.1264571428572,70.4998898920943,73.04,2.94161343039667,410.542899576853,20.6145514412059,1.84610840348545,0.646198507395136,3.89114053954009,0.738443361394181,45.39,33.1763786517988,3.0,6.0,185.5,988.85119047619,538.115184220541,59.6666666666667,3.0,17.8481406212057,0.307567280046004,4.6009775527987,0.0,0.444444444444444,0.180307569402836,45.1127819548872,216.168196624223,415.094339622642,41.4414191005159,52.8678304239402,495.25474455927
2600708,Aliança,PE,272.773,37372.0,11140.1903082522,57.3558131055485,70.4867949166212,62.0449311146571,39.5357132853671,75.8444182514851,65.3920093750117,88.5107453712712,52.2000066687169,73.247191555521,59.6366260701245,53.8621095668542,61.4337972661286,9.44350595822314,49.2150781461802,70.2430398708873,29.2412291661779,89.8307390204298,794.553890702177,195.536418917199,13.2518188127723,2.97704775245943,71.3566968107092,40.0709691274863,80.6725,50.60125,75.7236184667014,91.6935521952755,76.2520435470156,98.2548431799335,63.2834367774127,5.43153549508447,33.574885985283,18.4661872919057,0.866666666666667,0.0166666666666667,5.51666666666667,31.8,3.61,3.66666666666667,97.9,1.73,64.06,91.8338,83.3333333333333,72.93,3.53963200776992,498.374346231368,8.49535095949294,5.5958143308805,2.03766167469556,2.17780081243087,3.07769788198428,49.76,10.0295710030084,2.0,0.0,85.0,2102.3125,641.242656784555,90.0,4.0,18.9186685792464,0.302847787955565,0.355452949833524,0.1900779319521,0.181818181818182,0.986918313670535,0.0,49.9701265547771,49.8301245753115,37.1538579027366,43.6971949983102,492.050420312074
2600807,Altinho,PE,450.178,21185.0,10583.6157517111,55.9336883941766,69.8336822172511,62.867562847441,35.0998201178377,79.5730689329111,75.3057832259704,93.0635646935579,31.3923120165651,75.3623253842546,58.9083817021148,54.9760369784932,62.2235073249015,22.8290965443272,50.1937007596298,48.0242025247568,19.3522806426368,84.4850678885384,927.267997126041,132.978759675595,16.1820947389466,1.83302655378707,67.3626830118962,77.7249183274545,88.1325,33.795,64.8156180636693,97.7646266605258,95.7588594461358,98.1445035813952,118.136075257055,14.278914802475,54.1743252394312,6.77179065492889,0.916666666666667,0.766666666666667,6.31666666666667,27.2,4.36666666666667,2.65,96.53,11.01,47.02,92.7094694444444,65.5555555555555,72.54,3.05489260143198,421.444367036746,14.1008625162352,13.5435813098578,3.37103634087663,4.18419313820417,0.483699332494921,44.91,17.7403858696138,9.0,0.0,54.0,1477.79166666667,962.942494535694,92.0,4.0,17.8566850821418,0.298931073446328,0.760535857115217,0.0,0.363636363636364,0.7353683955922,238.095238095238,340.790099952404,118.906064209275,19.3051248776179,25.224967861734,513.644412506353
2600906,Amaraji,PE,233.239,18471.0,16055.2309620486,54.2684521393817,63.5608854176346,60.3345798566009,38.9098911439097,75.3077900300065,66.4896980542658,82.7139414526122,29.732112133654,73.591340092364,63.2904827693147,47.3050111806461,57.1514853840785,10.4498163046188,47.768582030164,71.2095089383768,26.211657302479,84.3448483446615,1145.54255550351,199.935713612684,9.69590227284455,2.91148836106766,65.5045498091215,70.4692102401712,88.33,73.14,69.9816411923147,79.5311488048268,77.6750643404191,92.4243050133497,144.717800289436,8.08363871524035,58.2257621532545,14.281790716836,1.86666666666667,1.03333333333333,5.41666666666667,25.7333333333333,3.7,1.56666666666667,95.7,8.77,70.11,94.7479363636363,69.4461859979101,69.89,3.22513089005236,506.449015519693,18.5256698660612,8.78879428728371,0.978490064535623,3.19605912567045,3.29579785773139,54.33,13.8054711954467,2.0,0.0,94.5,2061.54722222222,644.593628847229,76.0,4.0,22.2227972785365,0.303528041237114,0.507557605328207,0.313922461152096,0.444444444444444,0.869388729703917,0.0,43.1127398146152,66.35700066357,36.795244245747,38.1374722838138,493.365924535395
