Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2025,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 anos,Subnutrição,Abastecimento de Água Via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Pisos Adequados,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidentes de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Distorção Idade-Série no Ensino Médio,Evasão no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade Telefonia Móvel,Qualidade de Internet Móvel,Consumo de ultraprocessados,Expectativa de Vida ,Mortalidade entre 15 e 50 anos,Mortalidades por Doenças Crônicas Não Transmissíveis ,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquida de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência Contra Indígenas,Violência Contra Mulheres,Violência Contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana no Enem
Alto Alegre,SP,64.03,318.57,3874.00,44500.77,80.33,68.25,43.53,61.76,87.50,88.76,83.30,84.78,86.66,44.48,57.07,21.25,57.24,70.01,25.60,48.00,1307.06,120.52,39.34,3.12,89.85,88.91,85.36,14.27,89.97,96.21,77.34,90.06,0.00,0.00,0.00,5.15,0.00,0.00,14.22,7.16,6.05,0.00,93.70,82.99,65.95,95.59,50.00,74.00,338.65,483.04,43.72,10.22,20.10,5.16,2.29,1.65,46.65,1.00,0.00,365.70,596.48,39.65,43.97,3.00,8.93,0.00,0.28,0.00,0.44,0.33,,215.07,0.00,30.63,40.41,503.62
Jataí,GO,64.03,7178.79,111634.00,89812.40,78.58,71.29,42.23,75.25,84.24,90.90,63.91,82.53,84.57,58.52,59.55,30.43,52.58,43.94,41.97,81.28,500.12,130.51,16.65,3.81,88.42,85.67,90.99,33.45,91.58,85.27,83.14,99.19,39.62,2.93,21.10,28.15,0.30,0.86,11.38,7.38,5.58,2.48,94.09,63.51,70.40,97.16,71.08,76.35,229.45,424.25,30.82,8.70,17.75,4.75,17.10,4.95,42.57,5.00,0.00,367.82,715.92,32.56,102.60,6.00,12.66,5.70,0.28,55.50,0.39,0.83,27.78,640.74,333.53,60.35,70.99,548.64
São João do Sabugi,RN,64.03,277.01,6136.00,16309.16,80.92,64.89,46.27,80.24,68.95,93.32,81.16,77.91,74.31,53.63,53.71,34.28,57.54,67.49,25.76,85.37,909.75,91.78,7.32,4.07,78.09,18.40,94.51,45.77,77.04,98.13,90.60,97.32,0.00,0.00,9.79,3.25,0.36,4.16,25.06,6.36,5.31,3.92,86.97,45.07,46.07,97.16,52.27,71.73,225.17,342.30,28.10,26.05,8.56,0.00,30.80,0.13,48.92,8.00,0.00,339.93,1385.50,43.57,80.65,4.00,17.66,1.87,0.26,4.01,0.00,0.80,,18.98,49.50,25.64,37.85,526.25
Nova Granada,SP,64.02,531.80,19733.00,37112.50,83.22,68.67,40.18,76.03,92.90,97.43,66.53,81.47,78.70,54.75,59.74,21.85,58.48,46.26,34.11,90.42,2803.71,124.40,9.95,4.08,93.41,96.33,95.49,14.25,93.63,99.43,93.40,99.80,15.21,4.02,9.10,23.20,0.12,2.42,11.48,7.54,5.60,3.74,98.94,35.15,63.85,95.96,79.90,74.05,212.91,411.91,38.07,4.03,9.07,0.00,3.22,3.58,49.06,1.00,0.00,243.56,655.98,49.58,86.11,3.00,11.42,6.44,0.26,123.23,0.89,0.81,,638.97,487.44,39.63,50.98,558.72
Camocim,CE,64.02,1120.45,65251.00,15063.17,74.31,66.42,51.33,73.85,80.15,88.54,54.68,83.49,76.09,50.56,55.54,64.15,51.22,61.70,28.27,73.47,1510.84,182.22,11.94,2.35,81.58,29.52,97.12,9.47,70.67,94.73,77.40,97.18,60.80,1.81,25.32,14.86,0.06,1.36,12.06,6.98,5.68,0.54,82.95,64.51,44.40,95.70,75.80,68.71,226.27,473.71,20.38,12.38,5.60,6.74,37.61,2.16,47.68,13.00,12.00,1058.36,1579.95,64.74,119.98,6.00,15.72,1.09,0.28,8.12,0.40,0.93,41.67,81.63,39.17,32.71,46.38,516.48
Angélica,MS,64.02,1283.63,11308.00,109963.83,78.51,64.82,48.72,74.61,75.85,94.09,69.52,76.39,76.88,49.42,56.58,28.02,51.27,65.74,49.85,95.78,1603.02,204.01,13.02,3.44,90.76,25.17,82.79,21.17,89.51,98.68,88.04,96.16,17.31,0.00,16.26,12.80,0.08,1.30,23.88,10.64,5.26,7.28,90.24,23.32,77.74,95.26,85.68,75.34,269.73,475.53,31.63,18.21,25.76,31.84,5.31,4.72,46.54,5.00,0.00,489.74,670.01,54.85,92.94,2.00,14.59,0.23,0.29,2.83,0.44,0.19,,33.95,38.31,102.93,85.01,491.43
Içara,SC,64.01,230.49,63489.00,76836.52,80.01,71.68,40.35,76.15,82.85,91.54,69.51,72.38,85.34,61.82,67.19,27.51,55.73,37.82,40.34,77.42,1153.85,125.73,10.63,3.62,87.35,73.76,98.21,40.13,97.01,83.91,85.03,98.78,3.03,1.94,4.28,13.92,0.28,4.60,22.64,12.04,5.72,15.50,99.93,59.41,70.15,97.49,75.48,76.67,158.26,471.42,30.30,6.59,3.14,0.79,11.43,7.75,42.79,6.00,0.00,666.84,1360.33,58.82,79.03,6.00,7.98,1.31,0.29,62.54,0.27,0.48,190.48,301.68,248.62,64.88,69.79,518.30
Conselheiro Mairinck,PR,64.01,204.71,3474.00,48585.20,81.15,65.96,44.93,77.05,84.22,94.67,68.67,80.54,83.07,43.82,56.42,18.03,52.86,74.38,34.44,91.79,1183.30,173.38,12.94,3.00,86.75,83.35,89.16,26.46,94.27,92.03,94.21,96.90,28.01,0.00,11.31,28.40,0.14,3.14,11.82,8.26,5.24,1.56,93.82,39.16,88.43,95.57,77.56,73.37,354.01,571.41,31.13,5.67,19.59,8.64,2.63,0.10,45.46,1.00,0.00,495.67,1298.25,64.61,102.85,2.00,14.81,2.29,0.26,0.00,0.22,0.54,,45.96,0.00,43.97,63.92,518.41
Itaguara,MG,64.01,410.47,14415.00,32328.13,81.00,67.49,43.55,79.92,85.88,93.79,64.42,79.15,72.54,60.89,57.37,38.79,61.37,37.55,36.49,96.12,2031.75,111.53,5.21,4.38,82.62,86.12,95.60,23.09,84.41,94.24,91.59,98.07,19.93,2.88,9.96,41.09,0.72,5.22,13.08,9.38,5.97,3.34,89.21,17.77,64.75,94.19,77.05,75.14,208.12,337.84,31.27,5.70,11.70,2.77,14.05,3.63,49.01,1.00,8.00,237.55,488.50,44.39,97.59,5.00,7.67,0.65,0.27,123.86,0.44,0.28,,438.66,442.36,37.73,56.58,580.17
Ponta Grossa,PR,64.01,2053.26,375632.00,68107.42,77.44,73.89,40.70,76.74,90.17,92.38,50.47,80.77,90.29,55.15,69.37,28.88,52.62,32.14,49.17,83.11,950.31,160.71,11.83,2.92,96.73,96.10,99.69,38.78,97.86,88.38,92.70,93.01,45.62,6.04,23.80,25.34,0.34,1.48,10.22,8.40,5.38,4.40,98.81,81.48,74.88,97.80,84.27,75.22,238.11,474.19,28.14,8.33,3.02,1.06,11.34,8.84,39.98,5.00,0.00,347.46,677.23,54.17,96.38,11.00,10.75,2.72,0.27,135.66,0.32,0.76,187.92,371.85,161.41,77.84,90.93,539.78
