Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2025,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 anos,Subnutrição,Abastecimento de Água Via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Pisos Adequados,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidentes de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Distorção Idade-Série no Ensino Médio,Evasão no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade Telefonia Móvel,Qualidade de Internet Móvel,Consumo de ultraprocessados,Expectativa de Vida ,Mortalidade entre 15 e 50 anos,Mortalidades por Doenças Crônicas Não Transmissíveis ,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquida de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência Contra Indígenas,Violência Contra Mulheres,Violência Contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana no Enem
Gavião Peixoto,SP,73.10,243.77,4806.00,361138.78,87.23,72.70,59.38,81.38,89.99,97.09,80.46,85.67,90.40,53.11,61.62,40.01,57.37,77.62,62.54,89.01,692.38,111.04,18.34,1.89,96.39,95.10,99.66,38.27,97.41,93.11,96.75,99.91,0.00,0.00,4.20,20.97,0.20,0.00,7.46,4.24,5.34,0.00,96.44,78.54,87.92,93.82,93.56,73.14,220.89,404.92,26.71,16.73,11.30,2.08,6.40,1.30,39.35,4.00,6.00,293.99,375.85,49.46,61.38,3.00,13.39,21.41,0.25,8.18,0.44,0.69,,41.58,0.00,412.79,213.63,467.04
Jundiaí,SP,71.80,431.20,463039.00,141280.49,82.53,80.17,52.69,81.04,90.36,89.78,68.95,86.92,91.75,65.55,76.45,53.08,56.49,29.72,71.48,85.71,1068.88,91.63,9.94,3.24,93.39,98.24,99.30,33.39,94.54,70.72,92.91,99.33,8.55,2.16,6.85,19.92,0.16,1.32,5.96,3.62,6.13,1.58,99.80,83.88,78.50,97.86,77.22,76.94,156.27,409.93,26.38,6.05,2.03,0.26,10.35,17.38,34.81,8.00,10.00,415.17,767.32,63.08,78.75,9.00,6.17,3.96,0.28,161.85,0.32,0.72,56.94,315.86,305.72,129.17,134.66,580.00
Osvaldo Cruz,SP,71.76,248.04,32112.00,50300.45,88.62,72.37,54.30,78.97,94.77,97.85,82.89,87.07,80.95,58.14,63.32,36.67,59.70,76.98,43.86,95.25,1577.01,118.37,10.08,4.11,96.60,98.24,97.53,14.81,96.49,98.00,96.70,98.92,0.00,0.00,1.85,13.01,0.18,1.50,3.24,2.82,5.78,1.00,99.46,51.30,57.83,96.87,90.00,75.22,192.08,407.43,31.47,7.44,3.76,0.62,2.89,2.28,44.77,5.00,4.00,348.63,740.82,45.52,55.94,7.00,8.40,6.06,0.23,30.53,0.31,0.42,,4.96,0.00,60.32,75.32,561.84
Pompéia,SP,71.76,784.67,20520.00,122274.12,83.07,72.02,60.19,77.24,91.89,95.97,67.19,85.43,80.10,60.30,62.26,32.00,63.35,77.75,67.68,75.99,655.13,110.19,10.86,3.66,96.72,98.84,94.41,24.77,96.88,90.87,95.92,99.19,4.85,5.71,2.90,10.67,0.00,0.46,7.32,3.42,6.12,7.56,96.15,47.37,68.43,92.77,54.83,76.81,178.68,430.40,40.37,5.82,10.00,0.49,2.65,1.87,40.88,3.00,4.00,344.36,889.84,56.66,94.13,4.00,7.64,5.03,0.24,2.71,0.00,0.43,,3.83,0.00,155.27,125.22,555.60
Fernando de Noronha,PE,71.75,18.61,3341.00,91266.99,86.23,77.17,51.85,83.13,94.75,83.73,83.30,83.71,83.12,73.47,68.38,31.70,54.80,53.62,67.29,95.58,715.86,156.63,2.08,2.91,97.46,93.77,100.00,16.57,97.96,73.24,73.23,92.26,0.00,0.00,0.00,18.40,0.00,0.26,13.86,5.00,5.58,3.36,100.00,62.27,100.00,72.32,92.63,75.36,68.03,155.44,33.83,0.00,4.36,0.00,0.00,7.91,42.30,4.00,4.00,582.36,1462.19,59.93,98.16,2.00,10.31,2.93,0.28,48.57,0.33,0.46,,205.73,89.49,121.60,156.88,533.56
Curitiba,PR,71.29,435.28,1830795.00,65580.95,81.49,78.51,53.85,75.43,92.99,90.22,67.32,81.12,94.80,63.54,74.58,59.42,58.08,27.30,70.62,83.67,840.57,97.21,8.94,5.79,98.81,95.98,100.00,28.91,96.58,76.32,94.68,94.88,26.44,3.13,14.31,14.90,0.24,1.48,10.78,8.56,5.55,4.24,100.00,95.85,81.81,98.06,73.24,76.30,180.81,351.03,30.37,7.74,1.47,0.00,7.09,11.51,37.50,9.00,12.00,528.96,590.70,62.50,105.69,7.00,6.07,7.76,0.26,203.53,0.63,0.55,49.60,604.19,503.70,245.00,262.90,568.50
Nova Lima,MG,71.22,429.31,120959.00,102907.19,78.67,74.34,60.66,75.89,81.32,88.33,69.16,75.66,92.07,69.75,59.88,52.68,60.64,56.95,72.36,68.19,896.68,102.89,10.63,3.58,88.68,86.96,88.46,45.25,94.10,74.76,84.75,97.77,12.39,0.71,5.86,5.52,0.76,4.90,22.88,7.58,5.36,7.90,99.66,86.75,77.86,97.70,79.13,78.10,151.88,314.39,27.55,4.74,3.28,0.99,19.46,2.93,48.62,10.00,9.00,588.97,1946.00,65.06,92.61,8.00,6.27,8.30,0.26,48.39,0.13,0.95,,164.07,80.35,214.05,223.98,590.38
Gabriel Monteiro,SP,71.16,138.68,2813.00,44065.41,87.98,71.19,54.33,79.57,92.19,96.86,83.30,90.98,74.69,60.93,58.16,26.22,55.30,92.59,43.19,89.95,649.94,91.15,19.40,3.23,92.90,99.95,94.86,18.58,94.59,92.72,97.68,100.00,0.00,0.00,0.00,14.19,0.08,0.26,5.52,1.27,6.84,0.00,95.92,28.64,54.76,95.49,78.23,73.54,174.09,318.02,31.28,7.15,14.36,0.00,2.15,0.94,46.11,4.00,0.00,332.99,925.43,51.91,73.72,2.00,9.69,1.44,0.25,0.00,0.67,0.62,,0.00,0.00,54.05,76.37,568.72
Cornélio Procópio,PR,71.16,635.10,45720.00,52105.01,82.05,72.94,58.51,74.53,92.17,95.79,65.69,81.82,89.21,56.80,63.92,52.13,57.24,61.04,63.62,75.40,2108.48,126.24,14.80,2.93,98.92,99.47,99.03,34.22,98.83,99.22,89.35,96.24,24.04,3.34,12.96,30.23,0.04,0.94,13.36,5.54,5.29,5.34,97.59,85.28,69.41,96.79,91.67,75.86,227.80,413.82,28.57,10.81,3.53,0.22,6.88,2.91,43.58,7.00,10.00,344.43,1002.66,52.24,99.15,7.00,7.98,3.05,0.24,59.31,0.77,0.90,,250.40,78.88,108.24,125.27,549.40
Luzerna,SC,71.10,117.10,5951.00,58193.41,80.94,72.10,60.26,78.75,85.77,88.41,70.84,84.97,78.52,62.30,62.62,53.47,57.28,77.24,53.04,98.00,1358.91,97.74,19.99,3.71,85.33,99.59,93.96,35.64,49.47,98.73,97.13,89.68,17.35,0.00,10.21,13.60,0.00,2.02,11.86,4.48,6.56,5.50,72.58,52.86,78.75,96.23,84.19,77.59,129.19,336.17,32.56,23.82,7.11,1.68,8.77,4.06,43.30,11.00,7.00,718.98,623.56,49.96,83.32,5.00,5.24,9.38,0.29,0.00,0.22,0.93,,59.78,0.00,84.15,93.44,564.20
Itupeva,SP,71.08,200.88,74994.00,140401.37,82.27,77.45,53.54,84.79,84.88,90.45,68.94,82.60,91.36,67.14,68.72,43.75,57.69,48.53,64.17,92.93,661.11,106.67,13.36,1.57,87.02,97.51,82.73,24.82,97.66,68.85,96.34,99.24,8.83,2.25,6.88,15.75,0.32,2.36,13.14,6.20,5.73,1.94,99.43,82.18,79.67,97.24,78.23,75.63,145.05,407.04,19.65,6.01,2.93,0.00,11.53,9.39,42.36,7.00,7.00,528.42,986.17,74.71,115.15,10.00,8.26,1.94,0.28,38.57,0.31,0.89,93.02,173.29,222.56,117.53,121.28,539.70
Rafard,SP,71.08,121.64,9145.00,65055.22,89.93,71.84,51.46,82.77,96.04,98.08,82.82,82.59,88.77,54.82,61.18,37.38,54.69,76.59,37.18,86.29,568.32,106.63,11.16,2.23,97.93,99.67,98.97,13.99,97.03,96.66,99.15,98.78,0.00,0.00,2.20,6.59,0.14,1.60,14.32,7.56,5.83,1.52,93.00,69.01,87.05,97.23,100.00,74.37,167.84,391.89,37.47,10.97,5.79,3.28,3.10,1.97,46.06,5.00,5.00,393.25,905.70,55.38,66.61,5.00,7.54,1.70,0.29,4.34,0.44,0.64,,56.71,0.00,57.02,64.65,513.73
Presidente Lucena,RS,71.05,49.63,3166.00,117414.40,83.68,74.45,55.01,78.53,89.30,87.44,79.45,80.71,95.62,68.11,53.36,28.80,56.93,79.07,55.24,90.97,869.99,110.83,26.18,2.14,91.36,85.04,99.88,26.30,96.62,83.54,78.61,92.22,0.00,0.00,0.00,32.90,0.44,3.28,11.10,7.30,5.20,1.48,98.37,96.39,90.51,96.22,74.87,78.12,39.13,429.12,30.29,19.15,19.13,9.48,41.08,0.98,41.77,2.00,5.00,710.33,1563.91,62.61,95.95,2.00,2.53,27.14,0.29,13.61,0.89,0.00,,13.11,0.00,65.35,98.57,632.80
Adamantina,SP,70.97,411.99,35673.00,47820.34,83.33,73.63,55.96,74.75,94.73,94.36,69.46,86.16,87.43,56.21,64.72,34.58,59.09,59.86,70.32,90.28,1253.70,152.53,9.95,4.88,97.82,99.97,100.00,21.85,98.26,91.74,95.91,93.88,15.11,2.18,4.49,17.38,0.18,2.60,5.80,2.62,5.76,0.94,99.04,76.41,66.33,97.21,85.79,76.13,180.19,440.46,38.15,9.53,4.42,0.00,1.51,3.38,42.99,3.00,4.00,232.35,421.87,52.95,94.46,7.00,7.56,10.38,0.25,27.34,0.67,0.36,,148.98,104.71,119.79,155.27,576.72
Maringá,PR,70.87,487.03,429660.00,64742.69,84.68,78.32,49.60,81.11,94.20,97.54,65.87,83.15,95.51,63.11,71.52,36.65,63.16,27.60,70.97,90.09,597.07,105.63,10.13,3.55,98.85,99.59,98.99,24.33,99.31,95.55,97.61,98.24,25.34,3.12,12.14,21.46,0.46,1.94,10.72,6.08,5.88,2.96,99.93,100.00,82.30,97.64,80.08,76.10,162.69,339.90,33.34,6.97,2.26,0.12,1.85,8.38,39.17,5.00,4.00,486.03,435.25,55.90,94.33,10.00,4.78,6.30,0.27,156.19,0.43,0.74,122.45,550.91,501.08,131.60,149.14,572.98
Alto Alegre,RS,70.86,115.33,1837.00,39434.95,82.66,68.98,60.94,89.45,68.09,89.79,83.30,74.96,73.82,66.41,60.75,35.34,64.81,91.93,51.70,88.85,775.63,72.16,0.00,1.83,99.26,47.42,39.27,25.62,51.38,95.31,93.45,97.19,0.00,0.00,0.00,10.78,0.12,8.60,28.50,5.72,5.69,8.82,90.06,60.02,68.19,72.79,67.46,76.52,104.28,206.78,37.34,21.79,10.80,0.00,6.28,4.64,46.47,7.00,3.00,705.11,1114.15,69.25,110.69,3.00,6.55,0.00,0.26,0.00,0.44,0.82,,0.00,0.00,69.48,103.99,563.06
Ribeirão Preto,SP,70.80,650.92,731639.00,71492.66,81.93,75.92,54.54,80.09,89.34,89.81,68.47,78.88,92.65,59.00,73.16,58.83,55.48,35.89,67.96,90.27,763.61,102.99,11.80,3.76,98.40,97.89,99.73,46.85,93.22,76.88,87.03,99.17,12.53,2.36,9.05,17.95,0.86,4.28,15.32,6.14,5.33,4.70,99.95,92.03,74.82,98.10,78.68,75.65,172.35,385.72,36.76,8.93,1.79,0.11,6.22,11.69,40.15,12.00,9.00,621.46,650.61,64.88,104.01,10.00,6.50,6.89,0.28,114.14,0.27,0.51,26.94,275.61,218.86,113.43,126.26,586.70
Brasília,DF,70.73,5760.78,2996899.00,122015.83,80.35,74.87,56.98,78.10,88.10,87.45,67.77,76.85,87.66,67.78,67.17,63.05,66.25,29.12,69.49,80.39,897.18,96.46,12.06,3.74,90.69,90.51,98.61,33.21,86.91,71.18,87.72,98.64,21.50,2.64,12.24,10.91,0.36,2.18,21.04,6.74,5.12,10.46,99.64,72.84,71.87,96.12,75.54,77.35,164.17,333.75,25.41,8.23,2.20,0.78,27.20,10.11,43.24,10.00,10.00,201.56,239.72,38.07,89.10,9.00,8.19,14.57,0.28,210.86,0.32,0.77,48.05,441.24,192.80,249.70,237.39,554.36
Barra Bonita,SP,70.71,150.12,35129.00,59150.59,87.23,75.95,48.96,72.22,94.44,99.07,83.17,87.29,91.54,59.47,65.48,40.21,57.79,52.08,45.77,61.95,1187.96,126.18,16.89,2.92,99.14,99.83,99.58,24.66,99.05,98.17,99.30,99.57,0.00,0.00,0.57,11.80,0.12,0.88,6.40,2.82,5.90,0.66,99.45,94.08,71.62,96.09,78.93,77.12,195.11,432.89,34.65,6.77,3.17,0.28,5.12,2.89,41.34,6.00,5.00,300.58,728.56,61.92,86.64,7.00,7.21,6.57,0.27,27.28,0.46,0.26,,281.75,300.40,68.13,71.87,571.98
Araraquara,SP,70.70,1003.63,253474.00,57952.69,83.35,76.66,52.08,80.44,89.21,94.48,69.30,84.34,92.58,61.53,68.22,64.05,56.04,29.15,59.06,90.14,772.27,114.40,10.70,3.44,98.75,99.55,96.93,45.23,98.76,90.13,89.35,99.04,5.49,0.93,5.25,15.74,0.38,2.58,8.20,4.10,5.71,1.90,99.45,98.31,69.56,97.98,75.07,77.64,173.83,446.64,31.41,10.15,2.03,1.66,9.96,6.01,40.61,11.00,11.00,293.99,375.85,49.46,61.38,8.00,6.85,9.18,0.26,132.66,0.44,0.16,68.49,397.88,235.93,96.59,106.68,571.55
Águas de São Pedro,SP,70.66,3.61,2928.00,63316.26,86.70,74.93,50.36,74.98,94.38,98.01,79.45,86.57,87.17,58.56,67.41,18.11,60.34,51.76,71.23,71.10,676.29,85.48,12.40,4.64,99.31,100.00,98.31,23.56,99.78,97.72,95.30,99.22,0.00,0.00,0.00,49.40,0.00,0.72,13.14,5.52,6.63,0.64,100.00,38.62,100.00,96.31,89.87,78.37,207.66,404.21,33.77,14.03,5.41,0.00,5.91,8.55,42.29,1.00,0.00,357.34,886.53,78.23,81.41,3.00,5.62,93.69,0.23,13.93,0.44,0.00,,289.64,219.78,135.77,160.62,576.28
São Paulo,SP,70.64,1521.20,11904961.00,89611.81,82.47,74.41,55.04,76.93,92.41,90.55,69.98,79.77,91.53,61.44,64.90,62.14,59.07,29.11,69.84,75.54,628.01,100.75,12.48,3.79,97.89,96.90,99.50,30.14,92.62,79.29,88.17,98.98,4.10,0.44,2.12,4.03,0.66,2.98,14.20,5.96,5.20,4.66,99.99,78.40,81.86,98.06,79.33,76.30,183.39,414.08,33.51,1.65,1.24,0.00,6.74,6.31,51.15,12.00,10.00,478.19,481.45,64.29,113.00,10.00,7.98,3.04,0.27,381.27,0.73,0.67,124.22,449.63,439.78,205.40,211.13,558.81
Picada Café,RS,70.59,84.28,5473.00,71889.64,86.97,71.79,53.01,84.44,92.03,90.83,80.57,83.00,83.78,64.05,56.33,36.07,63.07,68.15,44.77,84.92,1083.79,92.29,0.00,3.03,86.92,98.15,92.55,4.92,91.29,84.65,94.94,92.44,0.00,0.00,3.67,25.68,0.14,3.18,12.72,9.16,6.67,2.04,85.65,85.33,58.82,96.09,59.50,75.50,168.14,342.89,35.04,3.68,20.25,5.48,26.22,2.22,41.81,5.00,5.00,417.33,1364.97,69.22,111.56,6.00,4.49,23.37,0.29,0.00,0.89,0.99,,245.96,250.00,63.45,81.48,549.00
Águas da Prata,SP,70.44,142.67,7463.00,36494.57,87.16,76.59,47.59,84.11,89.60,93.54,81.37,80.85,90.69,70.36,64.46,22.51,55.17,75.51,37.15,93.92,767.64,111.74,10.04,2.28,90.83,99.36,97.67,31.33,91.87,85.62,95.15,98.58,0.00,0.00,0.00,31.85,0.54,1.60,15.92,7.80,5.88,4.68,94.23,77.88,87.36,96.90,71.30,78.13,175.14,402.99,11.49,13.28,8.26,1.34,11.56,6.36,41.06,2.00,0.00,264.64,497.78,73.95,100.21,3.00,11.30,7.65,0.27,34.25,0.67,0.80,,86.93,0.00,43.80,58.00,567.60
Nova Boa Vista,RS,70.42,93.73,2089.00,65957.87,84.30,72.53,54.44,80.22,86.80,86.87,83.30,86.96,77.97,66.63,58.56,18.80,62.31,78.63,58.00,96.19,1036.03,80.03,18.52,3.74,97.55,30.22,98.21,5.57,11.70,99.23,98.58,97.55,0.00,0.00,0.00,19.18,0.18,1.64,10.62,3.68,6.42,0.36,91.99,43.94,61.02,95.84,65.87,75.13,116.37,278.21,33.96,9.64,10.80,0.00,7.19,0.07,44.29,2.00,0.00,685.26,1576.68,63.07,84.22,2.00,4.17,8.75,0.29,0.00,0.22,0.94,,39.45,0.00,86.16,122.24,549.36
Cândido Rodrigues,SP,70.37,70.89,2959.00,53379.86,89.25,71.93,49.94,84.28,90.93,98.47,83.30,87.67,77.26,60.15,62.63,21.27,59.54,78.94,40.00,96.00,1086.78,56.51,23.15,1.74,92.11,93.39,92.04,14.40,93.15,99.33,98.11,99.95,0.00,0.00,0.00,13.57,0.08,1.06,5.84,3.04,6.00,0.00,97.08,35.50,57.65,96.62,53.64,76.79,187.38,404.93,40.96,6.83,3.11,3.38,7.31,1.49,44.43,1.00,0.00,293.48,656.89,46.32,58.26,5.00,6.38,7.39,0.27,6.45,0.67,0.40,,27.27,0.00,58.08,84.90,495.90
Quatro Pontes,PR,70.30,114.39,4672.00,65736.73,85.21,72.65,53.03,81.17,81.57,94.80,83.30,86.00,87.95,57.70,58.93,20.72,58.38,81.59,51.44,94.90,873.90,105.91,16.35,2.90,96.37,16.19,98.05,18.26,89.81,94.72,94.73,96.65,0.00,0.00,0.00,13.43,0.00,0.00,9.72,4.74,6.05,2.58,94.19,76.31,78.21,95.30,78.19,75.30,179.17,348.93,31.66,22.19,16.64,0.00,2.76,0.77,43.13,1.00,0.00,350.59,692.71,56.27,107.90,4.00,3.28,3.66,0.26,0.00,0.89,0.83,,120.53,0.00,79.49,111.88,511.70
Córrego do Bom Jesus,MG,70.23,123.65,4462.00,14675.71,84.72,71.69,54.27,82.85,73.45,97.36,85.22,89.02,74.79,63.09,59.87,39.95,59.51,91.63,25.99,91.45,1296.54,94.93,0.00,4.22,67.49,91.07,85.98,48.07,97.82,97.85,93.62,99.09,0.00,0.00,0.00,0.00,0.24,1.04,2.64,2.90,6.39,0.00,84.28,66.83,37.03,94.14,86.24,75.40,115.08,345.41,28.10,18.52,4.37,4.48,12.40,0.60,45.51,5.00,5.00,417.10,363.30,46.61,88.30,5.00,4.89,0.00,0.27,0.00,0.67,0.51,,0.00,0.00,22.85,35.27,543.56
Ouro Branco,MG,70.20,258.73,40638.00,106077.24,81.32,74.02,55.24,77.91,83.06,96.08,68.24,76.64,89.98,64.74,64.72,35.69,58.24,61.31,65.72,89.93,1007.62,144.98,8.21,3.99,86.51,92.62,87.02,35.37,90.70,94.86,95.46,99.16,15.88,0.99,10.11,14.07,0.82,4.56,22.72,7.44,5.47,6.32,98.44,79.11,78.83,96.17,71.70,77.31,165.31,399.80,27.99,9.53,2.26,2.46,9.99,6.32,47.78,5.00,5.00,764.90,983.09,59.71,88.73,4.00,6.62,7.41,0.26,44.94,0.67,0.84,,326.43,48.17,108.02,110.54,612.99
Hortolândia,SP,70.02,62.42,248842.00,89068.26,84.80,78.05,47.22,81.11,92.98,97.08,68.05,85.01,89.75,62.47,74.99,35.76,58.79,38.43,55.90,95.62,508.10,141.42,11.85,2.94,98.84,98.23,98.23,28.11,98.64,95.93,93.69,99.34,14.09,1.49,10.98,6.71,0.24,1.40,7.78,3.90,5.72,2.74,100.00,86.58,66.55,97.56,79.89,76.51,183.02,455.73,25.22,5.79,1.17,0.04,2.16,20.04,42.57,6.00,4.00,584.73,932.90,67.33,81.05,7.00,6.85,5.12,0.26,78.42,0.11,0.93,72.87,431.48,294.13,97.69,99.82,545.66
Campinas,SP,70.00,794.57,1187974.00,77416.11,81.88,77.47,50.66,80.78,93.13,85.76,67.85,82.12,93.07,63.50,71.19,48.02,56.01,27.40,71.20,86.94,721.51,99.67,10.92,3.35,98.13,89.51,98.73,20.53,93.38,68.12,79.38,99.03,20.17,2.34,11.89,14.74,0.48,2.42,13.02,4.92,5.52,3.42,99.97,85.71,82.70,98.05,77.96,76.59,172.19,382.71,29.89,6.62,2.31,0.21,5.13,10.81,42.22,6.00,9.00,500.63,618.96,46.77,60.43,10.00,7.28,6.95,0.27,184.84,0.30,0.62,50.27,316.20,308.87,149.70,147.96,575.82
Buritizal,SP,69.97,266.42,4458.00,68543.74,84.84,71.91,53.16,73.23,86.91,96.89,82.32,80.95,81.44,66.84,58.41,19.02,57.28,86.53,49.80,69.00,652.68,102.32,22.11,3.36,91.19,96.92,85.15,24.90,91.61,95.20,97.78,99.35,0.00,0.00,4.50,13.52,0.54,1.62,21.32,5.58,5.47,2.26,92.48,51.16,66.97,97.99,58.33,74.79,128.56,370.91,31.88,0.00,14.60,13.46,7.36,3.34,45.82,1.00,0.00,519.31,800.89,55.37,67.18,2.00,11.99,9.47,0.28,8.78,0.89,0.82,,17.61,0.00,78.54,91.45,544.37
São João da Boa Vista,SP,69.94,516.40,96080.00,52156.34,82.35,74.24,53.25,74.61,92.33,95.41,67.04,85.57,88.61,55.49,67.27,38.73,62.84,44.54,66.90,82.02,769.67,132.93,12.32,4.60,95.76,98.68,97.60,25.62,95.98,89.41,95.58,99.23,7.48,3.26,6.76,21.53,0.20,1.64,6.90,3.70,5.89,2.78,97.65,88.72,61.68,97.71,96.76,77.23,200.87,435.20,35.89,13.08,4.34,0.42,6.87,5.99,39.82,10.00,0.00,264.64,497.78,73.95,100.21,10.00,7.82,3.15,0.26,112.78,0.53,0.98,,614.63,666.03,101.61,124.63,611.12
Jaguariúna,SP,69.94,141.39,62309.00,235614.08,84.39,77.12,48.32,81.82,90.52,95.58,69.63,83.80,92.69,61.90,70.10,25.59,61.52,37.26,68.89,90.36,659.07,120.19,10.96,2.69,96.64,99.30,98.19,37.12,97.39,88.33,97.33,98.89,4.54,1.33,3.71,17.73,0.02,3.02,10.70,6.28,6.57,5.22,100.00,90.95,75.97,98.08,85.10,76.74,169.24,425.12,29.75,7.06,1.82,0.32,3.40,8.63,42.96,4.00,0.00,488.03,610.49,55.96,59.44,9.00,6.87,11.59,0.27,118.06,0.77,0.44,64.52,312.30,356.14,270.87,235.42,546.84
Joinville,SC,69.93,1127.84,664541.00,74962.83,81.38,75.93,52.48,81.94,84.53,90.90,68.13,77.45,90.70,64.99,70.59,62.07,57.20,28.62,62.02,93.52,898.41,117.25,8.91,3.19,95.22,66.70,99.40,41.35,97.29,76.14,94.05,96.92,23.30,2.11,10.57,13.01,0.22,4.46,20.00,9.22,6.22,9.82,99.34,83.07,74.17,98.15,81.28,78.34,139.86,387.49,34.27,7.85,1.67,0.03,12.74,12.85,45.57,10.00,11.00,490.73,273.01,48.50,98.82,9.00,6.98,1.02,0.27,207.08,0.42,0.67,51.84,429.53,254.58,101.83,112.25,579.96
Quintana,SP,69.92,318.94,7260.00,51197.80,87.21,68.46,54.09,76.86,95.28,93.42,83.30,83.16,75.14,52.61,62.95,46.13,55.79,82.07,32.37,90.47,671.78,134.17,13.67,4.23,95.90,96.21,99.16,12.06,96.24,84.67,92.05,99.26,0.00,0.00,0.00,19.94,0.30,3.38,6.66,6.18,5.83,2.82,95.97,23.74,59.70,96.47,83.60,73.65,188.35,492.25,33.74,11.38,13.15,0.00,2.32,5.09,42.47,9.00,5.00,344.36,889.84,56.66,94.13,2.00,8.13,6.36,0.26,0.00,0.44,0.62,,10.96,0.00,49.41,65.45,473.09
São Bernardo do Campo,SP,69.92,409.53,841154.00,85556.02,82.65,75.21,51.89,80.20,92.50,88.88,69.03,83.48,87.06,63.68,66.60,51.14,56.63,35.95,63.85,84.68,535.45,92.65,11.03,3.68,97.62,97.69,99.35,29.65,85.02,79.71,84.49,99.16,10.74,1.32,6.48,9.48,0.32,1.82,11.94,4.54,5.86,4.28,99.97,61.42,76.49,97.56,86.80,76.65,163.98,394.51,28.43,5.76,1.53,0.00,4.52,6.53,47.75,7.00,10.00,387.24,540.96,76.22,99.65,9.00,6.49,2.63,0.26,124.36,0.36,0.81,15.34,583.52,344.66,113.76,112.20,568.92
Inúbia Paulista,SP,69.88,87.12,3671.00,48140.29,87.45,71.07,51.13,75.67,93.34,95.57,85.22,83.38,78.09,62.17,60.64,33.16,57.08,67.32,46.96,88.69,963.15,101.36,18.10,4.64,96.27,99.22,91.62,13.29,95.57,95.56,93.93,96.55,0.00,0.00,0.00,0.00,0.04,3.14,14.70,5.16,5.78,0.46,96.81,35.41,66.03,94.35,67.51,75.95,180.30,405.21,35.56,0.00,9.16,0.00,3.96,1.92,44.54,2.00,4.00,162.98,396.63,57.31,96.33,5.00,10.78,4.37,0.25,0.00,0.00,0.75,,10.75,116.28,56.64,70.91,622.17
Santo Anastácio,SP,69.86,552.88,17960.00,35104.29,80.62,70.10,58.86,65.42,92.33,96.40,68.33,81.75,83.27,52.67,62.70,43.36,55.85,73.71,62.50,74.04,4208.21,146.31,14.84,5.17,96.42,99.52,92.74,20.27,96.84,97.40,91.54,98.48,16.03,4.15,9.68,9.74,0.20,1.40,9.06,4.16,5.32,9.04,96.71,65.56,60.30,96.37,95.73,76.22,229.85,425.28,36.21,14.05,11.90,0.00,1.64,3.72,41.85,6.00,5.00,193.21,442.47,45.42,81.30,6.00,9.24,6.07,0.26,18.48,0.36,0.48,,38.12,0.00,94.90,129.69,562.52
São Caetano do Sul,SP,69.85,15.33,172693.00,130598.51,84.92,77.93,46.69,77.01,96.25,96.41,70.01,86.41,92.26,65.85,67.20,22.93,60.11,32.59,71.15,77.36,1021.38,90.33,8.81,4.51,99.96,99.96,99.80,17.72,99.74,87.71,99.56,99.33,6.22,0.43,2.00,1.88,0.02,0.88,11.56,3.22,6.47,4.32,100.00,98.80,66.75,98.06,83.84,78.20,127.53,379.98,36.32,3.64,1.34,0.00,0.00,0.64,39.96,3.00,0.00,451.80,622.88,69.35,78.19,10.00,3.35,2.85,0.25,232.64,0.10,0.51,,228.58,297.23,187.63,181.56,575.18
